solution_name,script_file,xml_report_path,pipeline_II,unroll_factor,enable_expression_balance,interface_mode,enable_dependence,estimated_clock_period,min_latency,max_latency,BRAM_18K_used,DSP48E_used,FF_used,LUT_used,BRAM_18K_available,DSP48E_available,FF_available,LUT_available,BRAM_18K,DSP48E,FF,LUT,total_resources
sol_auto_000,sol_auto_000.tcl,HCD_ENSTA_Test/sol_auto_000/syn/report/HLS_accel_csynth.xml,1,1,False,s_axilite,False,6.562,5874533,5874533,68,14,4926,27339,280,220,106400,53200,24.285714285714285,6.363636363636363,4.629699248120301,51.3890977443609,21.667036910457963
sol_auto_001,sol_auto_001.tcl,HCD_ENSTA_Test/sol_auto_001/syn/report/HLS_accel_csynth.xml,1,1,True,s_axilite,False,6.562,5874533,5874533,68,14,4926,27339,280,220,106400,53200,24.285714285714285,6.363636363636363,4.629699248120301,51.3890977443609,21.667036910457963
sol_auto_002,sol_auto_002.tcl,HCD_ENSTA_Test/sol_auto_002/syn/report/HLS_accel_csynth.xml,1,2,False,s_axilite,False,6.562,5842275,5842275,68,14,6448,29276,280,220,106400,53200,24.285714285714285,6.363636363636363,6.06015037593985,55.03007518796993,22.934894053315105
sol_auto_003,sol_auto_003.tcl,HCD_ENSTA_Test/sol_auto_003/syn/report/HLS_accel_csynth.xml,1,2,True,s_axilite,False,6.562,5842275,5842275,68,14,6448,29276,280,220,106400,53200,24.285714285714285,6.363636363636363,6.06015037593985,55.03007518796993,22.934894053315105
sol_auto_004,sol_auto_004.tcl,HCD_ENSTA_Test/sol_auto_004/syn/report/HLS_accel_csynth.xml,1,4,False,s_axilite,False,6.562,6071891,6071891,68,14,9011,32050,280,220,106400,53200,24.285714285714285,6.363636363636363,8.468984962406015,60.244360902255636,24.840674128503075
sol_auto_005,sol_auto_005.tcl,HCD_ENSTA_Test/sol_auto_005/syn/report/HLS_accel_csynth.xml,1,4,True,s_axilite,False,6.562,6071891,6071891,68,14,9011,32050,280,220,106400,53200,24.285714285714285,6.363636363636363,8.468984962406015,60.244360902255636,24.840674128503075
sol_auto_006,sol_auto_006.tcl,HCD_ENSTA_Test/sol_auto_006/syn/report/HLS_accel_csynth.xml,1,8,False,s_axilite,False,6.562,6157235,6157235,68,14,12635,36520,280,220,106400,53200,24.285714285714285,6.363636363636363,11.875,68.64661654135338,27.79274179767601
sol_auto_007,sol_auto_007.tcl,HCD_ENSTA_Test/sol_auto_007/syn/report/HLS_accel_csynth.xml,1,8,True,s_axilite,False,6.562,6157235,6157235,68,14,12635,36520,280,220,106400,53200,24.285714285714285,6.363636363636363,11.875,68.64661654135338,27.79274179767601
sol_auto_008,sol_auto_008.tcl,HCD_ENSTA_Test/sol_auto_008/syn/report/HLS_accel_csynth.xml,1,16,False,s_axilite,False,6.562,6315731,6315731,68,14,19875,45771,280,220,106400,53200,24.285714285714285,6.363636363636363,18.679511278195488,86.03571428571428,33.841144053315105
sol_auto_009,sol_auto_009.tcl,HCD_ENSTA_Test/sol_auto_009/syn/report/HLS_accel_csynth.xml,1,16,True,s_axilite,False,6.562,6315731,6315731,68,14,19883,45771,280,220,106400,53200,24.285714285714285,6.363636363636363,18.68703007518797,86.03571428571428,33.84302375256323
sol_auto_010,sol_auto_010.tcl,HCD_ENSTA_Test/sol_auto_010/syn/report/HLS_accel_csynth.xml,1,32,False,s_axilite,False,6.562,6626627,6626627,68,14,34339,63835,280,220,106400,53200,24.285714285714285,6.363636363636363,32.2734962406015,119.9906015037594,45.72836209842789
sol_auto_011,sol_auto_011.tcl,HCD_ENSTA_Test/sol_auto_011/syn/report/HLS_accel_csynth.xml,1,32,True,s_axilite,False,6.562,6626627,6626627,68,14,34363,63835,280,220,106400,53200,24.285714285714285,6.363636363636363,32.296052631578945,119.9906015037594,45.734001196172244
sol_auto_012,sol_auto_012.tcl,HCD_ENSTA_Test/sol_auto_012/syn/report/HLS_accel_csynth.xml,2,1,False,s_axilite,False,6.562,5874533,5874533,68,14,4926,27339,280,220,106400,53200,24.285714285714285,6.363636363636363,4.629699248120301,51.3890977443609,21.667036910457963
sol_auto_013,sol_auto_013.tcl,HCD_ENSTA_Test/sol_auto_013/syn/report/HLS_accel_csynth.xml,2,1,True,s_axilite,False,6.562,5874533,5874533,68,14,4926,27339,280,220,106400,53200,24.285714285714285,6.363636363636363,4.629699248120301,51.3890977443609,21.667036910457963
sol_auto_014,sol_auto_014.tcl,HCD_ENSTA_Test/sol_auto_014/syn/report/HLS_accel_csynth.xml,2,2,False,s_axilite,False,6.562,5842275,5842275,68,14,6448,29276,280,220,106400,53200,24.285714285714285,6.363636363636363,6.06015037593985,55.03007518796993,22.934894053315105
sol_auto_015,sol_auto_015.tcl,HCD_ENSTA_Test/sol_auto_015/syn/report/HLS_accel_csynth.xml,2,2,True,s_axilite,False,6.562,5842275,5842275,68,14,6448,29276,280,220,106400,53200,24.285714285714285,6.363636363636363,6.06015037593985,55.03007518796993,22.934894053315105
sol_auto_016,sol_auto_016.tcl,HCD_ENSTA_Test/sol_auto_016/syn/report/HLS_accel_csynth.xml,2,4,False,s_axilite,False,6.562,6071891,6071891,68,14,9011,32050,280,220,106400,53200,24.285714285714285,6.363636363636363,8.468984962406015,60.244360902255636,24.840674128503075
sol_auto_017,sol_auto_017.tcl,HCD_ENSTA_Test/sol_auto_017/syn/report/HLS_accel_csynth.xml,2,4,True,s_axilite,False,6.562,6071891,6071891,68,14,9011,32050,280,220,106400,53200,24.285714285714285,6.363636363636363,8.468984962406015,60.244360902255636,24.840674128503075
sol_auto_018,sol_auto_018.tcl,HCD_ENSTA_Test/sol_auto_018/syn/report/HLS_accel_csynth.xml,2,8,False,s_axilite,False,6.562,6157235,6157235,68,14,12627,36520,280,220,106400,53200,24.285714285714285,6.363636363636363,11.867481203007518,68.64661654135338,27.790862098427887
sol_auto_019,sol_auto_019.tcl,HCD_ENSTA_Test/sol_auto_019/syn/report/HLS_accel_csynth.xml,2,8,True,s_axilite,False,6.562,6157235,6157235,68,14,12635,36520,280,220,106400,53200,24.285714285714285,6.363636363636363,11.875,68.64661654135338,27.79274179767601
sol_auto_020,sol_auto_020.tcl,HCD_ENSTA_Test/sol_auto_020/syn/report/HLS_accel_csynth.xml,2,16,False,s_axilite,False,6.562,6315731,6315731,68,14,19883,45771,280,220,106400,53200,24.285714285714285,6.363636363636363,18.68703007518797,86.03571428571428,33.84302375256323
sol_auto_021,sol_auto_021.tcl,HCD_ENSTA_Test/sol_auto_021/syn/report/HLS_accel_csynth.xml,2,16,True,s_axilite,False,6.562,6315731,6315731,68,14,19875,45771,280,220,106400,53200,24.285714285714285,6.363636363636363,18.679511278195488,86.03571428571428,33.841144053315105
sol_auto_022,sol_auto_022.tcl,HCD_ENSTA_Test/sol_auto_022/syn/report/HLS_accel_csynth.xml,2,32,False,s_axilite,False,6.562,6626627,6626627,68,14,34371,63835,280,220,106400,53200,24.285714285714285,6.363636363636363,32.30357142857142,119.9906015037594,45.735880895420365
sol_auto_023,sol_auto_023.tcl,HCD_ENSTA_Test/sol_auto_023/syn/report/HLS_accel_csynth.xml,2,32,True,s_axilite,False,6.562,6626627,6626627,68,14,34339,63835,280,220,106400,53200,24.285714285714285,6.363636363636363,32.2734962406015,119.9906015037594,45.72836209842789
sol_auto_024,sol_auto_024.tcl,HCD_ENSTA_Test/sol_auto_024/syn/report/HLS_accel_csynth.xml,1,1,False,s_axilite,True,6.562,5874533,5874533,68,14,4926,27339,280,220,106400,53200,24.285714285714285,6.363636363636363,4.629699248120301,51.3890977443609,21.667036910457963
sol_auto_025,sol_auto_025.tcl,HCD_ENSTA_Test/sol_auto_025/syn/report/HLS_accel_csynth.xml,1,1,True,s_axilite,True,6.562,5874533,5874533,68,14,4926,27339,280,220,106400,53200,24.285714285714285,6.363636363636363,4.629699248120301,51.3890977443609,21.667036910457963
sol_auto_026,sol_auto_026.tcl,HCD_ENSTA_Test/sol_auto_026/syn/report/HLS_accel_csynth.xml,1,2,False,s_axilite,True,6.562,5842275,5842275,68,14,6448,29276,280,220,106400,53200,24.285714285714285,6.363636363636363,6.06015037593985,55.03007518796993,22.934894053315105
sol_auto_027,sol_auto_027.tcl,HCD_ENSTA_Test/sol_auto_027/syn/report/HLS_accel_csynth.xml,1,2,True,s_axilite,True,6.562,5842275,5842275,68,14,6448,29276,280,220,106400,53200,24.285714285714285,6.363636363636363,6.06015037593985,55.03007518796993,22.934894053315105
sol_auto_028,sol_auto_028.tcl,HCD_ENSTA_Test/sol_auto_028/syn/report/HLS_accel_csynth.xml,1,4,False,s_axilite,True,6.562,6071891,6071891,68,14,9011,32050,280,220,106400,53200,24.285714285714285,6.363636363636363,8.468984962406015,60.244360902255636,24.840674128503075
sol_auto_029,sol_auto_029.tcl,HCD_ENSTA_Test/sol_auto_029/syn/report/HLS_accel_csynth.xml,1,4,True,s_axilite,True,6.562,6071891,6071891,68,14,9011,32050,280,220,106400,53200,24.285714285714285,6.363636363636363,8.468984962406015,60.244360902255636,24.840674128503075
sol_auto_030,sol_auto_030.tcl,HCD_ENSTA_Test/sol_auto_030/syn/report/HLS_accel_csynth.xml,1,8,False,s_axilite,True,6.562,6157235,6157235,68,14,12627,36520,280,220,106400,53200,24.285714285714285,6.363636363636363,11.867481203007518,68.64661654135338,27.790862098427887
sol_auto_031,sol_auto_031.tcl,HCD_ENSTA_Test/sol_auto_031/syn/report/HLS_accel_csynth.xml,1,8,True,s_axilite,True,6.562,6157235,6157235,68,14,12627,36520,280,220,106400,53200,24.285714285714285,6.363636363636363,11.867481203007518,68.64661654135338,27.790862098427887
sol_auto_032,sol_auto_032.tcl,HCD_ENSTA_Test/sol_auto_032/syn/report/HLS_accel_csynth.xml,1,16,False,s_axilite,True,6.562,6315731,6315731,68,14,19867,45771,280,220,106400,53200,24.285714285714285,6.363636363636363,18.671992481203006,86.03571428571428,33.839264354066984
sol_auto_033,sol_auto_033.tcl,HCD_ENSTA_Test/sol_auto_033/syn/report/HLS_accel_csynth.xml,1,16,True,s_axilite,True,6.562,6315731,6315731,68,14,19867,45771,280,220,106400,53200,24.285714285714285,6.363636363636363,18.671992481203006,86.03571428571428,33.839264354066984
sol_auto_034,sol_auto_034.tcl,HCD_ENSTA_Test/sol_auto_034/syn/report/HLS_accel_csynth.xml,1,32,False,s_axilite,True,6.562,6626627,6626627,68,14,34339,63835,280,220,106400,53200,24.285714285714285,6.363636363636363,32.2734962406015,119.9906015037594,45.72836209842789
sol_auto_035,sol_auto_035.tcl,HCD_ENSTA_Test/sol_auto_035/syn/report/HLS_accel_csynth.xml,1,32,True,s_axilite,True,6.562,6626627,6626627,68,14,34339,63835,280,220,106400,53200,24.285714285714285,6.363636363636363,32.2734962406015,119.9906015037594,45.72836209842789
sol_auto_036,sol_auto_036.tcl,HCD_ENSTA_Test/sol_auto_036/syn/report/HLS_accel_csynth.xml,2,1,False,s_axilite,True,6.562,5874533,5874533,68,14,4926,27339,280,220,106400,53200,24.285714285714285,6.363636363636363,4.629699248120301,51.3890977443609,21.667036910457963
sol_auto_037,sol_auto_037.tcl,HCD_ENSTA_Test/sol_auto_037/syn/report/HLS_accel_csynth.xml,2,1,True,s_axilite,True,6.562,5874533,5874533,68,14,4926,27339,280,220,106400,53200,24.285714285714285,6.363636363636363,4.629699248120301,51.3890977443609,21.667036910457963
sol_auto_038,sol_auto_038.tcl,HCD_ENSTA_Test/sol_auto_038/syn/report/HLS_accel_csynth.xml,2,2,False,s_axilite,True,6.562,5842275,5842275,68,14,6448,29276,280,220,106400,53200,24.285714285714285,6.363636363636363,6.06015037593985,55.03007518796993,22.934894053315105
sol_auto_039,sol_auto_039.tcl,HCD_ENSTA_Test/sol_auto_039/syn/report/HLS_accel_csynth.xml,2,2,True,s_axilite,True,6.562,5842275,5842275,68,14,6448,29276,280,220,106400,53200,24.285714285714285,6.363636363636363,6.06015037593985,55.03007518796993,22.934894053315105
sol_auto_040,sol_auto_040.tcl,HCD_ENSTA_Test/sol_auto_040/syn/report/HLS_accel_csynth.xml,2,4,False,s_axilite,True,6.562,6071891,6071891,68,14,9011,32050,280,220,106400,53200,24.285714285714285,6.363636363636363,8.468984962406015,60.244360902255636,24.840674128503075
sol_auto_041,sol_auto_041.tcl,HCD_ENSTA_Test/sol_auto_041/syn/report/HLS_accel_csynth.xml,2,4,True,s_axilite,True,6.562,6071891,6071891,68,14,9011,32050,280,220,106400,53200,24.285714285714285,6.363636363636363,8.468984962406015,60.244360902255636,24.840674128503075
sol_auto_042,sol_auto_042.tcl,HCD_ENSTA_Test/sol_auto_042/syn/report/HLS_accel_csynth.xml,2,8,False,s_axilite,True,6.562,6157235,6157235,68,14,12635,36520,280,220,106400,53200,24.285714285714285,6.363636363636363,11.875,68.64661654135338,27.79274179767601
sol_auto_043,sol_auto_043.tcl,HCD_ENSTA_Test/sol_auto_043/syn/report/HLS_accel_csynth.xml,2,8,True,s_axilite,True,6.562,6157235,6157235,68,14,12635,36520,280,220,106400,53200,24.285714285714285,6.363636363636363,11.875,68.64661654135338,27.79274179767601
sol_auto_044,sol_auto_044.tcl,HCD_ENSTA_Test/sol_auto_044/syn/report/HLS_accel_csynth.xml,2,16,False,s_axilite,True,6.562,6315731,6315731,68,14,19867,45771,280,220,106400,53200,24.285714285714285,6.363636363636363,18.671992481203006,86.03571428571428,33.839264354066984
sol_auto_045,sol_auto_045.tcl,HCD_ENSTA_Test/sol_auto_045/syn/report/HLS_accel_csynth.xml,2,16,True,s_axilite,True,6.562,6315731,6315731,68,14,19867,45771,280,220,106400,53200,24.285714285714285,6.363636363636363,18.671992481203006,86.03571428571428,33.839264354066984
sol_auto_046,sol_auto_046.tcl,HCD_ENSTA_Test/sol_auto_046/syn/report/HLS_accel_csynth.xml,2,32,False,s_axilite,True,6.562,6626627,6626627,68,14,34363,63835,280,220,106400,53200,24.285714285714285,6.363636363636363,32.296052631578945,119.9906015037594,45.734001196172244
