solution_name,script_file,xml_report_path,pipeline_II,unroll_factor,enable_expression_balance,interface_mode,enable_dependence,estimated_clock_period,min_latency,max_latency,BRAM_18K_used,DSP48E_used,FF_used,LUT_used,BRAM_18K_available,DSP48E_available,FF_available,LUT_available,BRAM_18K,DSP48E,FF,LUT,total_resources
sol_auto_047,sol_auto_047.tcl,HCD_ENSTA_Test/sol_auto_047/syn/report/HLS_accel_csynth.xml,2,32,True,s_axilite,True,6.562,6626627,6626627,68,14,34363,63835,280,220,106400,53200,24.285714285714285,6.363636363636363,32.296052631578945,119.9906015037594,45.734001196172244
sol_auto_048,sol_auto_048.tcl,HCD_ENSTA_Test/sol_auto_048/syn/report/HLS_accel_csynth.xml,1,1,False,axis,False,6.562,6003565,6003565,68,14,5099,27714,280,220,106400,53200,24.285714285714285,6.363636363636363,4.792293233082707,52.09398496240601,21.88390721120984
sol_auto_049,sol_auto_049.tcl,HCD_ENSTA_Test/sol_auto_049/syn/report/HLS_accel_csynth.xml,1,1,True,axis,False,6.562,6003565,6003565,68,14,5099,27714,280,220,106400,53200,24.285714285714285,6.363636363636363,4.792293233082707,52.09398496240601,21.88390721120984
sol_auto_050,sol_auto_050.tcl,HCD_ENSTA_Test/sol_auto_050/syn/report/HLS_accel_csynth.xml,1,2,False,axis,False,6.562,5939049,5939049,68,14,6713,29850,280,220,106400,53200,24.285714285714285,6.363636363636363,6.309210526315789,56.109022556390975,23.266895933014354
sol_auto_051,sol_auto_051.tcl,HCD_ENSTA_Test/sol_auto_051/syn/report/HLS_accel_csynth.xml,1,2,True,axis,False,6.562,5939049,5939049,68,14,6713,29850,280,220,106400,53200,24.285714285714285,6.363636363636363,6.309210526315789,56.109022556390975,23.266895933014354
sol_auto_052,sol_auto_052.tcl,HCD_ENSTA_Test/sol_auto_052/syn/report/HLS_accel_csynth.xml,1,4,False,axis,False,6.562,6185683,6185683,68,14,9308,32670,280,220,106400,53200,24.285714285714285,6.363636363636363,8.74812030075188,61.409774436090224,25.20181134654819
sol_auto_053,sol_auto_053.tcl,HCD_ENSTA_Test/sol_auto_053/syn/report/HLS_accel_csynth.xml,1,4,True,axis,False,6.562,6185683,6185683,68,14,9308,32670,280,220,106400,53200,24.285714285714285,6.363636363636363,8.74812030075188,61.409774436090224,25.20181134654819
sol_auto_054,sol_auto_054.tcl,HCD_ENSTA_Test/sol_auto_054/syn/report/HLS_accel_csynth.xml,1,8,False,axis,False,6.562,6279155,6279155,68,14,12996,37232,280,220,106400,53200,24.285714285714285,6.363636363636363,12.214285714285714,69.98496240601504,28.21214969241285
sol_auto_055,sol_auto_055.tcl,HCD_ENSTA_Test/sol_auto_055/syn/report/HLS_accel_csynth.xml,1,8,True,axis,False,6.562,6279155,6279155,68,14,12996,37232,280,220,106400,53200,24.285714285714285,6.363636363636363,12.214285714285714,69.98496240601504,28.21214969241285
sol_auto_056,sol_auto_056.tcl,HCD_ENSTA_Test/sol_auto_056/syn/report/HLS_accel_csynth.xml,1,16,False,axis,False,6.562,6441715,6441715,68,14,20364,46667,280,220,106400,53200,24.285714285714285,6.363636363636363,19.139097744360903,87.71992481203007,34.37709330143541
sol_auto_057,sol_auto_057.tcl,HCD_ENSTA_Test/sol_auto_057/syn/report/HLS_accel_csynth.xml,1,16,True,axis,False,6.562,6441715,6441715,68,14,20372,46667,280,220,106400,53200,24.285714285714285,6.363636363636363,19.146616541353385,87.71992481203007,34.37897300068353
sol_auto_058,sol_auto_058.tcl,HCD_ENSTA_Test/sol_auto_058/syn/report/HLS_accel_csynth.xml,1,32,False,axis,False,6.562,6754643,6754643,68,14,35084,65099,280,220,106400,53200,24.285714285714285,6.363636363636363,32.973684210526315,122.36654135338345,46.497394053315105
sol_auto_059,sol_auto_059.tcl,HCD_ENSTA_Test/sol_auto_059/syn/report/HLS_accel_csynth.xml,1,32,True,axis,False,6.562,6754643,6754643,68,14,35108,65099,280,220,106400,53200,24.285714285714285,6.363636363636363,32.99624060150376,122.36654135338345,46.50303315105947
sol_auto_060,sol_auto_060.tcl,HCD_ENSTA_Test/sol_auto_060/syn/report/HLS_accel_csynth.xml,2,1,False,axis,False,6.562,6003565,6003565,68,14,5099,27714,280,220,106400,53200,24.285714285714285,6.363636363636363,4.792293233082707,52.09398496240601,21.88390721120984
sol_auto_061,sol_auto_061.tcl,HCD_ENSTA_Test/sol_auto_061/syn/report/HLS_accel_csynth.xml,2,1,True,axis,False,6.562,6003565,6003565,68,14,5099,27714,280,220,106400,53200,24.285714285714285,6.363636363636363,4.792293233082707,52.09398496240601,21.88390721120984
sol_auto_062,sol_auto_062.tcl,HCD_ENSTA_Test/sol_auto_062/syn/report/HLS_accel_csynth.xml,2,2,False,axis,False,6.562,5939049,5939049,68,14,6713,29850,280,220,106400,53200,24.285714285714285,6.363636363636363,6.309210526315789,56.109022556390975,23.266895933014354
sol_auto_063,sol_auto_063.tcl,HCD_ENSTA_Test/sol_auto_063/syn/report/HLS_accel_csynth.xml,2,2,True,axis,False,6.562,5939049,5939049,68,14,6713,29850,280,220,106400,53200,24.285714285714285,6.363636363636363,6.309210526315789,56.109022556390975,23.266895933014354
sol_auto_064,sol_auto_064.tcl,HCD_ENSTA_Test/sol_auto_064/syn/report/HLS_accel_csynth.xml,2,4,False,axis,False,6.562,6185683,6185683,68,14,9308,32670,280,220,106400,53200,24.285714285714285,6.363636363636363,8.74812030075188,61.409774436090224,25.20181134654819
sol_auto_065,sol_auto_065.tcl,HCD_ENSTA_Test/sol_auto_065/syn/report/HLS_accel_csynth.xml,2,4,True,axis,False,6.562,6185683,6185683,68,14,9308,32670,280,220,106400,53200,24.285714285714285,6.363636363636363,8.74812030075188,61.409774436090224,25.20181134654819
sol_auto_066,sol_auto_066.tcl,HCD_ENSTA_Test/sol_auto_066/syn/report/HLS_accel_csynth.xml,2,8,False,axis,False,6.562,6279155,6279155,68,14,12988,37232,280,220,106400,53200,24.285714285714285,6.363636363636363,12.206766917293233,69.98496240601504,28.21026999316473
sol_auto_067,sol_auto_067.tcl,HCD_ENSTA_Test/sol_auto_067/syn/report/HLS_accel_csynth.xml,2,8,True,axis,False,6.562,6279155,6279155,68,14,12996,37232,280,220,106400,53200,24.285714285714285,6.363636363636363,12.214285714285714,69.98496240601504,28.21214969241285
sol_auto_068,sol_auto_068.tcl,HCD_ENSTA_Test/sol_auto_068/syn/report/HLS_accel_csynth.xml,2,16,False,axis,False,6.562,6441715,6441715,68,14,20372,46667,280,220,106400,53200,24.285714285714285,6.363636363636363,19.146616541353385,87.71992481203007,34.37897300068353
sol_auto_069,sol_auto_069.tcl,HCD_ENSTA_Test/sol_auto_069/syn/report/HLS_accel_csynth.xml,2,16,True,axis,False,6.562,6441715,6441715,68,14,20364,46667,280,220,106400,53200,24.285714285714285,6.363636363636363,19.139097744360903,87.71992481203007,34.37709330143541
sol_auto_070,sol_auto_070.tcl,HCD_ENSTA_Test/sol_auto_070/syn/report/HLS_accel_csynth.xml,2,32,False,axis,False,6.562,6754643,6754643,68,14,35116,65099,280,220,106400,53200,24.285714285714285,6.363636363636363,33.00375939849624,122.36654135338345,46.50491285030759
sol_auto_071,sol_auto_071.tcl,HCD_ENSTA_Test/sol_auto_071/syn/report/HLS_accel_csynth.xml,2,32,True,axis,False,6.562,6754643,6754643,68,14,35084,65099,280,220,106400,53200,24.285714285714285,6.363636363636363,32.973684210526315,122.36654135338345,46.497394053315105
sol_auto_072,sol_auto_072.tcl,HCD_ENSTA_Test/sol_auto_072/syn/report/HLS_accel_csynth.xml,1,1,False,axis,True,6.562,6003565,6003565,68,14,5099,27714,280,220,106400,53200,24.285714285714285,6.363636363636363,4.792293233082707,52.09398496240601,21.88390721120984
sol_auto_073,sol_auto_073.tcl,HCD_ENSTA_Test/sol_auto_073/syn/report/HLS_accel_csynth.xml,1,1,True,axis,True,6.562,6003565,6003565,68,14,5099,27714,280,220,106400,53200,24.285714285714285,6.363636363636363,4.792293233082707,52.09398496240601,21.88390721120984
sol_auto_074,sol_auto_074.tcl,HCD_ENSTA_Test/sol_auto_074/syn/report/HLS_accel_csynth.xml,1,2,False,axis,True,6.562,5939049,5939049,68,14,6713,29850,280,220,106400,53200,24.285714285714285,6.363636363636363,6.309210526315789,56.109022556390975,23.266895933014354
sol_auto_075,sol_auto_075.tcl,HCD_ENSTA_Test/sol_auto_075/syn/report/HLS_accel_csynth.xml,1,2,True,axis,True,6.562,5939049,5939049,68,14,6713,29850,280,220,106400,53200,24.285714285714285,6.363636363636363,6.309210526315789,56.109022556390975,23.266895933014354
sol_auto_076,sol_auto_076.tcl,HCD_ENSTA_Test/sol_auto_076/syn/report/HLS_accel_csynth.xml,1,4,False,axis,True,6.562,6185683,6185683,68,14,9308,32670,280,220,106400,53200,24.285714285714285,6.363636363636363,8.74812030075188,61.409774436090224,25.20181134654819
sol_auto_077,sol_auto_077.tcl,HCD_ENSTA_Test/sol_auto_077/syn/report/HLS_accel_csynth.xml,1,4,True,axis,True,6.562,6185683,6185683,68,14,9308,32670,280,220,106400,53200,24.285714285714285,6.363636363636363,8.74812030075188,61.409774436090224,25.20181134654819
sol_auto_078,sol_auto_078.tcl,HCD_ENSTA_Test/sol_auto_078/syn/report/HLS_accel_csynth.xml,1,8,False,axis,True,6.562,6279155,6279155,68,14,12988,37232,280,220,106400,53200,24.285714285714285,6.363636363636363,12.206766917293233,69.98496240601504,28.21026999316473
sol_auto_079,sol_auto_079.tcl,HCD_ENSTA_Test/sol_auto_079/syn/report/HLS_accel_csynth.xml,1,8,True,axis,True,6.562,6279155,6279155,68,14,12988,37232,280,220,106400,53200,24.285714285714285,6.363636363636363,12.206766917293233,69.98496240601504,28.21026999316473
sol_auto_080,sol_auto_080.tcl,HCD_ENSTA_Test/sol_auto_080/syn/report/HLS_accel_csynth.xml,1,16,False,axis,True,6.562,6441715,6441715,68,14,20356,46667,280,220,106400,53200,24.285714285714285,6.363636363636363,19.13157894736842,87.71992481203007,34.37521360218729
sol_auto_081,sol_auto_081.tcl,HCD_ENSTA_Test/sol_auto_081/syn/report/HLS_accel_csynth.xml,1,16,True,axis,True,6.562,6441715,6441715,68,14,20356,46667,280,220,106400,53200,24.285714285714285,6.363636363636363,19.13157894736842,87.71992481203007,34.37521360218729
sol_auto_082,sol_auto_082.tcl,HCD_ENSTA_Test/sol_auto_082/syn/report/HLS_accel_csynth.xml,1,32,False,axis,True,6.562,6754643,6754643,68,14,35084,65099,280,220,106400,53200,24.285714285714285,6.363636363636363,32.973684210526315,122.36654135338345,46.497394053315105
sol_auto_083,sol_auto_083.tcl,HCD_ENSTA_Test/sol_auto_083/syn/report/HLS_accel_csynth.xml,1,32,True,axis,True,6.562,6754643,6754643,68,14,35084,65099,280,220,106400,53200,24.285714285714285,6.363636363636363,32.973684210526315,122.36654135338345,46.497394053315105
sol_auto_084,sol_auto_084.tcl,HCD_ENSTA_Test/sol_auto_084/syn/report/HLS_accel_csynth.xml,2,1,False,axis,True,6.562,6003565,6003565,68,14,5099,27714,280,220,106400,53200,24.285714285714285,6.363636363636363,4.792293233082707,52.09398496240601,21.88390721120984
sol_auto_085,sol_auto_085.tcl,HCD_ENSTA_Test/sol_auto_085/syn/report/HLS_accel_csynth.xml,2,1,True,axis,True,6.562,6003565,6003565,68,14,5099,27714,280,220,106400,53200,24.285714285714285,6.363636363636363,4.792293233082707,52.09398496240601,21.88390721120984
sol_auto_086,sol_auto_086.tcl,HCD_ENSTA_Test/sol_auto_086/syn/report/HLS_accel_csynth.xml,2,2,False,axis,True,6.562,5939049,5939049,68,14,6713,29850,280,220,106400,53200,24.285714285714285,6.363636363636363,6.309210526315789,56.109022556390975,23.266895933014354
sol_auto_087,sol_auto_087.tcl,HCD_ENSTA_Test/sol_auto_087/syn/report/HLS_accel_csynth.xml,2,2,True,axis,True,6.562,5939049,5939049,68,14,6713,29850,280,220,106400,53200,24.285714285714285,6.363636363636363,6.309210526315789,56.109022556390975,23.266895933014354
sol_auto_088,sol_auto_088.tcl,HCD_ENSTA_Test/sol_auto_088/syn/report/HLS_accel_csynth.xml,2,4,False,axis,True,6.562,6185683,6185683,68,14,9308,32670,280,220,106400,53200,24.285714285714285,6.363636363636363,8.74812030075188,61.409774436090224,25.20181134654819
sol_auto_089,sol_auto_089.tcl,HCD_ENSTA_Test/sol_auto_089/syn/report/HLS_accel_csynth.xml,2,4,True,axis,True,6.562,6185683,6185683,68,14,9308,32670,280,220,106400,53200,24.285714285714285,6.363636363636363,8.74812030075188,61.409774436090224,25.20181134654819
sol_auto_090,sol_auto_090.tcl,HCD_ENSTA_Test/sol_auto_090/syn/report/HLS_accel_csynth.xml,2,8,False,axis,True,6.562,6279155,6279155,68,14,12996,37232,280,220,106400,53200,24.285714285714285,6.363636363636363,12.214285714285714,69.98496240601504,28.21214969241285
sol_auto_091,sol_auto_091.tcl,HCD_ENSTA_Test/sol_auto_091/syn/report/HLS_accel_csynth.xml,2,8,True,axis,True,6.562,6279155,6279155,68,14,12996,37232,280,220,106400,53200,24.285714285714285,6.363636363636363,12.214285714285714,69.98496240601504,28.21214969241285
sol_auto_092,sol_auto_092.tcl,HCD_ENSTA_Test/sol_auto_092/syn/report/HLS_accel_csynth.xml,2,16,False,axis,True,6.562,6441715,6441715,68,14,20356,46667,280,220,106400,53200,24.285714285714285,6.363636363636363,19.13157894736842,87.71992481203007,34.37521360218729
sol_auto_093,sol_auto_093.tcl,HCD_ENSTA_Test/sol_auto_093/syn/report/HLS_accel_csynth.xml,2,16,True,axis,True,6.562,6441715,6441715,68,14,20356,46667,280,220,106400,53200,24.285714285714285,6.363636363636363,19.13157894736842,87.71992481203007,34.37521360218729
sol_auto_094,sol_auto_094.tcl,HCD_ENSTA_Test/sol_auto_094/syn/report/HLS_accel_csynth.xml,2,32,False,axis,True,6.562,6754643,6754643,68,14,35108,65099,280,220,106400,53200,24.285714285714285,6.363636363636363,32.99624060150376,122.36654135338345,46.50303315105947
sol_auto_095,sol_auto_095.tcl,HCD_ENSTA_Test/sol_auto_095/syn/report/HLS_accel_csynth.xml,2,32,True,axis,True,6.562,6754643,6754643,68,14,35108,65099,280,220,106400,53200,24.285714285714285,6.363636363636363,32.99624060150376,122.36654135338345,46.50303315105947
